2492	Adductors
2494	Band Terminal Knee extension
2495	Machine Leg Flexion
2496	Wall Push-ups (Vasco L1)
2497	DB Floor Press (5kg Single Arm)
2498	Pike Push-ups (Vasco L1)
2499	Incline Push-ups (Vasco L2)
2501	Table Bodyweight Rows (Vasco L1)
2502	DB Single-Arm Row (5kg)
2503	Face Pulls (Bodyweight Doorframe/Towel)
2504	DB Hammer Curls (5kg)
2505	Dead Bug (Core L1)
2507	Forearm Plank (Core L1)
2508	Bird Dog (Core L1)
2509	Side Plank (Core L1)
2510	Hollow Body Hold (Core L1)
2522	Tricep Pull-Down
2523	Serratus Wall Slide Stretch
2524	Straddle Stance Good Morning
2525	Couch Stretch
2526	Long Lunge Pulse Stretch
2527	Front Split Stretch
2528	Squat Sky Reach Stretch
2529	explosive push ups
2530	Russian Push Ups
2531	elbow lever
2532	Planche Lean Hold
2533	Arch Hang
2534	(D) Puente de glúteos
2535	Leg Extension Isometric
2536	Bench Press Isometric
2537	Overhead Press Isometric
2538	Lateral Raise Isometric
2539	Preacher Curl Isometric
2540	Lat Pulldown Isometric
2541	Triceps Pushdown Isometric
2542	Boxing
2543	Wrist circles
